run_id,date,operator_or_agent,phase,timepoint,replicate,article_id,variant_id,control_article_id,cell_model,medium_condition,exposure_time_h,viability_metabolic_pct_control,ldh_release_pct_control,neurite_length_pct_control,neurite_branching_pct_control,cell_body_count_pct_control,network_spike_rate_pct_control,burst_rate_pct_control,synchrony_pct_control,morphology_notes,gate_results,notes
fixture-D1-bio_no_module_control-R1-24h,2026-05-23,fixture,D1,24 h,1,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,100,100,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_lead_zrc_nd_3p5m_guard-R1-24h,2026-05-23,fixture,D1,24 h,1,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,96,104,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_baseline_rc_3p5m_guard-R1-24h,2026-05-23,fixture,D1,24 h,1,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,95,106,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_challenge_zrc_nd_10m_guard-R1-24h,2026-05-23,fixture,D1,24 h,1,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,88,132,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_positive_toxicity_control-R1-24h,2026-05-23,fixture,D1,24 h,1,bio_positive_toxicity_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,45,240,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_no_module_control-R1-72h,2026-05-23,fixture,D1,72 h,1,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,100,100,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_lead_zrc_nd_3p5m_guard-R1-72h,2026-05-23,fixture,D1,72 h,1,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,96,104,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_baseline_rc_3p5m_guard-R1-72h,2026-05-23,fixture,D1,72 h,1,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,95,106,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_challenge_zrc_nd_10m_guard-R1-72h,2026-05-23,fixture,D1,72 h,1,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,88,132,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_positive_toxicity_control-R1-72h,2026-05-23,fixture,D1,72 h,1,bio_positive_toxicity_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,45,240,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_no_module_control-R1-72h,2026-05-23,fixture,D2,72 h,1,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,100,100,100,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_lead_zrc_nd_3p5m_guard-R1-72h,2026-05-23,fixture,D2,72 h,1,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,94,93,96,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_baseline_rc_3p5m_guard-R1-72h,2026-05-23,fixture,D2,72 h,1,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,95,94,97,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_challenge_zrc_nd_10m_guard-R1-72h,2026-05-23,fixture,D2,72 h,1,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,82,80,88,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_no_module_control-R1-72h,2026-05-23,fixture,D3,72 h,1,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,100,100,100,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_lead_zrc_nd_3p5m_guard-R1-72h,2026-05-23,fixture,D3,72 h,1,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,98,102,96,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_baseline_rc_3p5m_guard-R1-72h,2026-05-23,fixture,D3,72 h,1,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,100,98,101,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_challenge_zrc_nd_10m_guard-R1-72h,2026-05-23,fixture,D3,72 h,1,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,150,65,60,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_no_module_control-R2-24h,2026-05-23,fixture,D1,24 h,2,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,100,100,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_lead_zrc_nd_3p5m_guard-R2-24h,2026-05-23,fixture,D1,24 h,2,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,96,104,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_baseline_rc_3p5m_guard-R2-24h,2026-05-23,fixture,D1,24 h,2,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,95,106,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_challenge_zrc_nd_10m_guard-R2-24h,2026-05-23,fixture,D1,24 h,2,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,88,132,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_positive_toxicity_control-R2-24h,2026-05-23,fixture,D1,24 h,2,bio_positive_toxicity_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,45,240,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_no_module_control-R2-72h,2026-05-23,fixture,D1,72 h,2,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,100,100,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_lead_zrc_nd_3p5m_guard-R2-72h,2026-05-23,fixture,D1,72 h,2,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,96,104,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_baseline_rc_3p5m_guard-R2-72h,2026-05-23,fixture,D1,72 h,2,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,95,106,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_challenge_zrc_nd_10m_guard-R2-72h,2026-05-23,fixture,D1,72 h,2,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,88,132,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_positive_toxicity_control-R2-72h,2026-05-23,fixture,D1,72 h,2,bio_positive_toxicity_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,45,240,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_no_module_control-R2-72h,2026-05-23,fixture,D2,72 h,2,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,100,100,100,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_lead_zrc_nd_3p5m_guard-R2-72h,2026-05-23,fixture,D2,72 h,2,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,94,93,96,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_baseline_rc_3p5m_guard-R2-72h,2026-05-23,fixture,D2,72 h,2,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,95,94,97,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_challenge_zrc_nd_10m_guard-R2-72h,2026-05-23,fixture,D2,72 h,2,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,82,80,88,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_no_module_control-R2-72h,2026-05-23,fixture,D3,72 h,2,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,100,100,100,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_lead_zrc_nd_3p5m_guard-R2-72h,2026-05-23,fixture,D3,72 h,2,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,98,102,96,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_baseline_rc_3p5m_guard-R2-72h,2026-05-23,fixture,D3,72 h,2,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,100,98,101,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_challenge_zrc_nd_10m_guard-R2-72h,2026-05-23,fixture,D3,72 h,2,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,150,65,60,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_no_module_control-R3-24h,2026-05-23,fixture,D1,24 h,3,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,100,100,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_lead_zrc_nd_3p5m_guard-R3-24h,2026-05-23,fixture,D1,24 h,3,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,96,104,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_baseline_rc_3p5m_guard-R3-24h,2026-05-23,fixture,D1,24 h,3,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,95,106,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_challenge_zrc_nd_10m_guard-R3-24h,2026-05-23,fixture,D1,24 h,3,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,88,132,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_positive_toxicity_control-R3-24h,2026-05-23,fixture,D1,24 h,3,bio_positive_toxicity_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,24,45,240,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_no_module_control-R3-72h,2026-05-23,fixture,D1,72 h,3,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,100,100,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_lead_zrc_nd_3p5m_guard-R3-72h,2026-05-23,fixture,D1,72 h,3,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,96,104,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_baseline_rc_3p5m_guard-R3-72h,2026-05-23,fixture,D1,72 h,3,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,95,106,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_challenge_zrc_nd_10m_guard-R3-72h,2026-05-23,fixture,D1,72 h,3,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,88,132,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D1-bio_positive_toxicity_control-R3-72h,2026-05-23,fixture,D1,72 h,3,bio_positive_toxicity_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,45,240,,,,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_no_module_control-R3-72h,2026-05-23,fixture,D2,72 h,3,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,100,100,100,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_lead_zrc_nd_3p5m_guard-R3-72h,2026-05-23,fixture,D2,72 h,3,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,94,93,96,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_baseline_rc_3p5m_guard-R3-72h,2026-05-23,fixture,D2,72 h,3,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,95,94,97,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D2-bio_challenge_zrc_nd_10m_guard-R3-72h,2026-05-23,fixture,D2,72 h,3,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,82,80,88,,,,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_no_module_control-R3-72h,2026-05-23,fixture,D3,72 h,3,bio_no_module_control,,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,100,100,100,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_lead_zrc_nd_3p5m_guard-R3-72h,2026-05-23,fixture,D3,72 h,3,bio_lead_zrc_nd_3p5m_guard,zrc_nd_3p5k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,98,102,96,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_baseline_rc_3p5m_guard-R3-72h,2026-05-23,fixture,D3,72 h,3,bio_baseline_rc_3p5m_guard,zrc_nd_3p5k_unmodified_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,100,98,101,synthetic fixture only,,synthetic fixture only; not material evidence
fixture-D3-bio_challenge_zrc_nd_10m_guard-R3-72h,2026-05-23,fixture,D3,72 h,3,bio_challenge_zrc_nd_10m_guard,zrc_nd_10k_mpc_guard,bio_no_module_control,synthetic_neural_culture_proxy,synthetic_conditioned_medium,72,,,,,,150,65,60,synthetic fixture only,,synthetic fixture only; not material evidence
