bundle_id,apply,source_file,measured_at,operator_or_agent,instrument_id,notes,value_albumin_final,value_albumin_initial,value_ammonia_final_uM,value_ammonia_initial_uM,value_bdnf_final_pg_ml,value_bdnf_initial_pg_ml,value_bubble_events,value_conductivity_final_mS_cm,value_conductivity_initial_mS_cm,value_date,value_exposure_time_h,value_flow_rate_ul_min,value_flow_resistance_final,value_flow_resistance_initial,value_housing_material,value_initial_volume_ml,value_lactate_final_mM,value_lactate_initial_mM,value_medium_lot,value_medium_name,value_membrane_area_cm2,value_membrane_lot,value_mwco_kda,value_ngf_final_pg_ml,value_ngf_initial_pg_ml,value_operator_or_agent,value_osmolality_final_mOsm_kg,value_osmolality_initial_mOsm_kg,value_pH_final,value_pH_initial,value_prefilter_lot,value_surface_modification,value_temperature_c,value_total_protein_final,value_total_protein_initial,value_transferrin_final,value_transferrin_initial,value_visible_precipitate,priority,run_id,phase,timepoint,replicate,article_id,source_class,target_fields,target_value_columns,source_value_rows,instrument_required,source_file_exists,allowed_source_file,entry_status,missing_items,operator_action
ZRCND-A-baseline_rc_3p5m_guard-R1-0h__bench_or_chain_of_custody_record,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/bench_or_chain_of_custody_record_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,bench_or_chain_of_custody_record,date;exposure_time_h;flow_rate_ul_min;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;mwco_kda;operator_or_agent;prefilter_lot;surface_modification,value_date;value_exposure_time_h;value_flow_rate_ul_min;value_housing_material;value_initial_volume_ml;value_medium_lot;value_medium_name;value_membrane_area_cm2;value_membrane_lot;value_mwco_kda;value_operator_or_agent;value_prefilter_lot;value_surface_modification,13,false,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/bench_or_chain_of_custody_record_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;value_date;value_exposure_time_h;value_flow_rate_ul_min;value_housing_material;value_initial_volume_ml;value_medium_lot;value_medium_name;value_membrane_area_cm2;value_membrane_lot;value_mwco_kda;value_operator_or_agent;value_prefilter_lot;value_surface_modification;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-0h__biochemical_or_plate_reader_export,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/biochemical_or_plate_reader_export_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,biochemical_or_plate_reader_export,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;lactate_final_mM;lactate_initial_mM;ngf_final_pg_ml;ngf_initial_pg_ml;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial,value_albumin_final;value_albumin_initial;value_ammonia_final_uM;value_ammonia_initial_uM;value_bdnf_final_pg_ml;value_bdnf_initial_pg_ml;value_lactate_final_mM;value_lactate_initial_mM;value_ngf_final_pg_ml;value_ngf_initial_pg_ml;value_total_protein_final;value_total_protein_initial;value_transferrin_final;value_transferrin_initial,14,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/biochemical_or_plate_reader_export_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_albumin_final;value_albumin_initial;value_ammonia_final_uM;value_ammonia_initial_uM;value_bdnf_final_pg_ml;value_bdnf_initial_pg_ml;value_lactate_final_mM;value_lactate_initial_mM;value_ngf_final_pg_ml;value_ngf_initial_pg_ml;value_total_protein_final;value_total_protein_initial;value_transferrin_final;value_transferrin_initial;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-0h__conductivity_meter_export_or_photo,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/conductivity_meter_export_or_photo_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,conductivity_meter_export_or_photo,conductivity_final_mS_cm;conductivity_initial_mS_cm,value_conductivity_final_mS_cm;value_conductivity_initial_mS_cm,2,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/conductivity_meter_export_or_photo_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_conductivity_final_mS_cm;value_conductivity_initial_mS_cm;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-0h__image_or_scoring_worksheet,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/image_or_scoring_worksheet_vendor_return_bundle.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,image_or_scoring_worksheet,visible_precipitate,value_visible_precipitate,1,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/image_or_scoring_worksheet_vendor_return_bundle.png,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_visible_precipitate;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-0h__osmometer_report_or_export,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/osmometer_report_or_export_vendor_return_bundle.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,osmometer_report_or_export,osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg,value_osmolality_final_mOsm_kg;value_osmolality_initial_mOsm_kg,2,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/osmometer_report_or_export_vendor_return_bundle.pdf,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_osmolality_final_mOsm_kg;value_osmolality_initial_mOsm_kg;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-0h__pH_meter_export_or_photo,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/pH_meter_export_or_photo_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,pH_meter_export_or_photo,pH_final;pH_initial,value_pH_final;value_pH_initial,2,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/pH_meter_export_or_photo_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_pH_final;value_pH_initial;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-0h__pressure_flow_or_resistance_export,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/pressure_flow_or_resistance_export_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,pressure_flow_or_resistance_export,bubble_events;flow_resistance_final;flow_resistance_initial,value_bubble_events;value_flow_resistance_final;value_flow_resistance_initial,3,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/pressure_flow_or_resistance_export_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_bubble_events;value_flow_resistance_final;value_flow_resistance_initial;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-0h__temperature_or_incubator_log,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/temperature_or_incubator_log_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,ZRCND-A-baseline_rc_3p5m_guard-R1-0h,A,0 h,1,baseline_rc_3p5m_guard,temperature_or_incubator_log,temperature_c,value_temperature_c,1,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-0h/temperature_or_incubator_log_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_temperature_c;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-24h__bench_or_chain_of_custody_record,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/bench_or_chain_of_custody_record_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,24 h,1,baseline_rc_3p5m_guard,bench_or_chain_of_custody_record,date;exposure_time_h;flow_rate_ul_min;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;mwco_kda;operator_or_agent;prefilter_lot;surface_modification,value_date;value_exposure_time_h;value_flow_rate_ul_min;value_housing_material;value_initial_volume_ml;value_medium_lot;value_medium_name;value_membrane_area_cm2;value_membrane_lot;value_mwco_kda;value_operator_or_agent;value_prefilter_lot;value_surface_modification,13,false,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/bench_or_chain_of_custody_record_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;value_date;value_exposure_time_h;value_flow_rate_ul_min;value_housing_material;value_initial_volume_ml;value_medium_lot;value_medium_name;value_membrane_area_cm2;value_membrane_lot;value_mwco_kda;value_operator_or_agent;value_prefilter_lot;value_surface_modification;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-24h__biochemical_or_plate_reader_export,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/biochemical_or_plate_reader_export_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,24 h,1,baseline_rc_3p5m_guard,biochemical_or_plate_reader_export,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;lactate_final_mM;lactate_initial_mM;ngf_final_pg_ml;ngf_initial_pg_ml;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial,value_albumin_final;value_albumin_initial;value_ammonia_final_uM;value_ammonia_initial_uM;value_bdnf_final_pg_ml;value_bdnf_initial_pg_ml;value_lactate_final_mM;value_lactate_initial_mM;value_ngf_final_pg_ml;value_ngf_initial_pg_ml;value_total_protein_final;value_total_protein_initial;value_transferrin_final;value_transferrin_initial,14,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/biochemical_or_plate_reader_export_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_albumin_final;value_albumin_initial;value_ammonia_final_uM;value_ammonia_initial_uM;value_bdnf_final_pg_ml;value_bdnf_initial_pg_ml;value_lactate_final_mM;value_lactate_initial_mM;value_ngf_final_pg_ml;value_ngf_initial_pg_ml;value_total_protein_final;value_total_protein_initial;value_transferrin_final;value_transferrin_initial;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-24h__conductivity_meter_export_or_photo,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/conductivity_meter_export_or_photo_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,24 h,1,baseline_rc_3p5m_guard,conductivity_meter_export_or_photo,conductivity_final_mS_cm;conductivity_initial_mS_cm,value_conductivity_final_mS_cm;value_conductivity_initial_mS_cm,2,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/conductivity_meter_export_or_photo_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_conductivity_final_mS_cm;value_conductivity_initial_mS_cm;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-24h__image_or_scoring_worksheet,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/image_or_scoring_worksheet_vendor_return_bundle.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,24 h,1,baseline_rc_3p5m_guard,image_or_scoring_worksheet,visible_precipitate,value_visible_precipitate,1,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/image_or_scoring_worksheet_vendor_return_bundle.png,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_visible_precipitate;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-24h__osmometer_report_or_export,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/osmometer_report_or_export_vendor_return_bundle.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,24 h,1,baseline_rc_3p5m_guard,osmometer_report_or_export,osmolality_final_mOsm_kg;osmolality_initial_mOsm_kg,value_osmolality_final_mOsm_kg;value_osmolality_initial_mOsm_kg,2,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/osmometer_report_or_export_vendor_return_bundle.pdf,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_osmolality_final_mOsm_kg;value_osmolality_initial_mOsm_kg;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-24h__pH_meter_export_or_photo,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/pH_meter_export_or_photo_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,24 h,1,baseline_rc_3p5m_guard,pH_meter_export_or_photo,pH_final;pH_initial,value_pH_final;value_pH_initial,2,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/pH_meter_export_or_photo_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_pH_final;value_pH_initial;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-24h__pressure_flow_or_resistance_export,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/pressure_flow_or_resistance_export_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,24 h,1,baseline_rc_3p5m_guard,pressure_flow_or_resistance_export,bubble_events;flow_resistance_final;flow_resistance_initial,value_bubble_events;value_flow_resistance_final;value_flow_resistance_initial,3,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/pressure_flow_or_resistance_export_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_bubble_events;value_flow_resistance_final;value_flow_resistance_initial;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-baseline_rc_3p5m_guard-R1-24h__temperature_or_incubator_log,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/temperature_or_incubator_log_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,ZRCND-A-baseline_rc_3p5m_guard-R1-24h,A,24 h,1,baseline_rc_3p5m_guard,temperature_or_incubator_log,temperature_c,value_temperature_c,1,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-baseline_rc_3p5m_guard-R1-24h/temperature_or_incubator_log_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_temperature_c;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h__bench_or_chain_of_custody_record,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/bench_or_chain_of_custody_record_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,A,0 h,1,challenge_zrc_nd_10m_guard,bench_or_chain_of_custody_record,date;exposure_time_h;flow_rate_ul_min;housing_material;initial_volume_ml;medium_lot;medium_name;membrane_area_cm2;membrane_lot;mwco_kda;operator_or_agent;prefilter_lot;surface_modification,value_date;value_exposure_time_h;value_flow_rate_ul_min;value_housing_material;value_initial_volume_ml;value_medium_lot;value_medium_name;value_membrane_area_cm2;value_membrane_lot;value_mwco_kda;value_operator_or_agent;value_prefilter_lot;value_surface_modification,13,false,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/bench_or_chain_of_custody_record_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;value_date;value_exposure_time_h;value_flow_rate_ul_min;value_housing_material;value_initial_volume_ml;value_medium_lot;value_medium_name;value_membrane_area_cm2;value_membrane_lot;value_mwco_kda;value_operator_or_agent;value_prefilter_lot;value_surface_modification;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h__biochemical_or_plate_reader_export,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/biochemical_or_plate_reader_export_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,A,0 h,1,challenge_zrc_nd_10m_guard,biochemical_or_plate_reader_export,albumin_final;albumin_initial;ammonia_final_uM;ammonia_initial_uM;bdnf_final_pg_ml;bdnf_initial_pg_ml;lactate_final_mM;lactate_initial_mM;ngf_final_pg_ml;ngf_initial_pg_ml;total_protein_final;total_protein_initial;transferrin_final;transferrin_initial,value_albumin_final;value_albumin_initial;value_ammonia_final_uM;value_ammonia_initial_uM;value_bdnf_final_pg_ml;value_bdnf_initial_pg_ml;value_lactate_final_mM;value_lactate_initial_mM;value_ngf_final_pg_ml;value_ngf_initial_pg_ml;value_total_protein_final;value_total_protein_initial;value_transferrin_final;value_transferrin_initial,14,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/biochemical_or_plate_reader_export_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_albumin_final;value_albumin_initial;value_ammonia_final_uM;value_ammonia_initial_uM;value_bdnf_final_pg_ml;value_bdnf_initial_pg_ml;value_lactate_final_mM;value_lactate_initial_mM;value_ngf_final_pg_ml;value_ngf_initial_pg_ml;value_total_protein_final;value_total_protein_initial;value_transferrin_final;value_transferrin_initial;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h__conductivity_meter_export_or_photo,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/conductivity_meter_export_or_photo_vendor_return_bundle.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,A,0 h,1,challenge_zrc_nd_10m_guard,conductivity_meter_export_or_photo,conductivity_final_mS_cm;conductivity_initial_mS_cm,value_conductivity_final_mS_cm;value_conductivity_initial_mS_cm,2,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/conductivity_meter_export_or_photo_vendor_return_bundle.csv,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_conductivity_final_mS_cm;value_conductivity_initial_mS_cm;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h__image_or_scoring_worksheet,,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/image_or_scoring_worksheet_vendor_return_bundle.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h,A,0 h,1,challenge_zrc_nd_10m_guard,image_or_scoring_worksheet,visible_precipitate,value_visible_precipitate,1,true,false,data/zrc_nd_phase_a_vendor_return_inbox/external_lab_exports/ZRCND-A-challenge_zrc_nd_10m_guard-R1-0h/image_or_scoring_worksheet_vendor_return_bundle.png,awaiting_bundle_entry,measured_at;operator_or_agent;instrument_id;value_visible_precipitate;source_file_missing,"Place the real vendor export/report in source_file, fill only real values, then set apply=yes and run scripts/apply_zrc_nd_phase_a_vendor_bundle_entry_sheet.py."
